Your Estimate,,,,
Service Type,Components,Region,Component Price,Service Price
Amazon S3 Service (US East (N. Virginia)),,,,$871.54
,S3 Standard Storage:,US East (N. Virginia),$706.00,
,S3 Standard Put Requests:,US East (N. Virginia),$10.00,
,S3 Standard Other Requests:,US East (N. Virginia),$0.40,
,S3 Standard Select Data Returned:,US East (N. Virginia),$32.26,
,S3 Standard Select Data Scanned:,US East (N. Virginia),$122.88,
Amazon Route 53 Service,,,,$58.90
,Hosted Zones:,Global,$0.50,
,Traffic Flow:,Global,$50.00,
,Standard Queries:,Global,$4.00,
,Latency Based Routing Queries:,Global,$3.00,
,Geo DNS Queries:,Global,$1.40,
Amazon CloudFront Service,,,,$6955.08
,Data Transfer Out:,Global,$5017.60,
,Data Transfer Out to Origin:,Global,$1228.80,
,Requests:,Global,$708.68,
Amazon DynamoDB Service (US East (N. Virginia)),,,,$8423.73
,On-demand Capacity:,US East (N. Virginia),$0.00,
,Provisioned Capacity:,US East (N. Virginia),$0.00,
,Indexed Data Storage:,US East (N. Virginia),$8423.73,
,DynamoDB Streams:,US East (N. Virginia),$0.00,
,On-demand backup:,US East (N. Virginia),$0.00,
,Continuous backup (PITR):,US East (N. Virginia),$0.00,
,Restoring a table:,US East (N. Virginia),$0.00,
AWS Lambda,,,,$2039.51
,Number of requests ,US East (N. Virginia),$2039.51,
AWS Support (Business),,,,$1441.25
,Support for all AWS services:,,$1441.25,
,,Free Tier Discount:,,-$6.39
,,Total Monthly Payment:,,$19783.62
,,,,
Reasons why increasing the cost is required,,,,
1. Underestimation of userbase,,,,
2. Didn’t know the cloud architecture better,,,,
3. Sudden increase of data and user flux,,,,
,,,,
Changes made to increase the price,,,,
Most of the price involves is in processing and transferring of data.,,,,
Here processing part is not that much but transferring in requests is too much.,,,,
"If user flux has increased or the traffic has increases, in either cases, there will be more data generation, more processing and more transfer of data. So, to keep that in mind I have increases the resources of AWS Lambda (Processing), AWS DynamoDB(Caching), AWS CloudFront(Transferring of Data) and AWS S3(Storage of Data)",,,,